书名,作者,出版社,出版时间,价格,评分,评论,链接
红楼梦,[清] 曹雪芹 著 ,人民文学出版社,1996-12,59.70元,9.6,都云作者痴，谁解其中味？,https://book.douban.com/subject/1007305/
活着,余华 ,作家出版社,2012-8-1,20.00元,9.4,生的苦难与伟大,https://book.douban.com/subject/4913064/
1984,[英] 乔治·奥威尔 ,北京十月文艺出版社,2010-4-1,28.00,9.4,栗树荫下，我出卖你，你出卖我,https://book.douban.com/subject/4820710/
百年孤独,[哥伦比亚] 加西亚·马尔克斯 ,南海出版公司,2011-6,39.50元,9.3,魔幻现实主义文学代表作,https://book.douban.com/subject/6082808/
三体全集,刘慈欣 ,重庆出版社,2012-1-1,168.00元,9.5,地球往事三部曲,https://book.douban.com/subject/6518605/
飘,[美国] 玛格丽特·米切尔 ,译林出版社,2000-9,40.00元,9.3,革命时期的爱情，随风而逝,https://book.douban.com/subject/1068920/
哈利·波特,J.K.罗琳 (J.K.Rowling) ,人民文学出版社,2008-12-1,498.00元,9.7,从9¾站台开始的旅程,https://book.douban.com/subject/24531956/
三国演义（全二册）,[明] 罗贯中 ,人民文学出版社,1998-05,39.50元,9.3,是非成败转头空,https://book.douban.com/subject/1019568/
房思琪的初恋乐园,林奕含 ,北京联合出版公司,2018-2,45.00元,9.2,向死而生的文学绝唱,https://book.douban.com/subject/27614904/
动物农场,[英] 乔治·奥威尔 ,上海译文出版社,2007-3,10.00元,9.3,太阳底下并无新事,https://book.douban.com/subject/2035179/
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 ,1981-8,53.00元,68.00元,9.3,名侦探的代名词,https://book.douban.com/subject/1040211/
白夜行,[日] 东野圭吾 ,南海出版公司,2013-1-1,39.50元,9.2,一宗离奇命案牵出跨度近20年步步惊心的故事,https://book.douban.com/subject/10554308/
小王子,[法] 圣埃克苏佩里 ,人民文学出版社,2003-8,22.00元,9.1,献给长成了大人的孩子们,https://book.douban.com/subject/1084336/
安徒生童话故事集,（丹麦）安徒生 ,人民文学出版社,1997-08,25.00元,9.2,为了争取未来的一代,https://book.douban.com/subject/1046209/
天龙八部,金庸 ,生活·读书·新知三联书店,1994-5,96.00元,9.2,有情皆孽，无人不冤,https://book.douban.com/subject/1255625/
撒哈拉的故事,三毛 ,哈尔滨出版社,2003-8,15.80元,9.2,游荡的自由灵魂,https://book.douban.com/subject/1060068/
杀死一只知更鸟,[美] 哈珀·李 ,译林出版社,2012-9,32.00元,9.2,有一种东西不能遵循从众原则，那就是——人的良心,https://book.douban.com/subject/6781808/
呐喊,鲁迅 ,人民文学出版社,1973-3,0.36元,9.1,新文学的第一声呐喊,https://book.douban.com/subject/1449351/
明朝那些事儿（1-9）,当年明月 ,中国海关出版社,2009-4,358.20元,9.2,不拘一格的历史书写,https://book.douban.com/subject/3674537/
沉默的大多数,王小波 ,中国青年出版社,1997-10,27.00元,9.1,沉默是沉默者的通行证,https://book.douban.com/subject/1054685/
失踪的孩子,[意] 埃莱娜·费兰特 ,人民文学出版社,2018-7,62.00元,9.2,我的整个生命，只是一场为了提升社会地位的低俗斗争。,https://book.douban.com/subject/30172069/
新名字的故事,[意] 埃莱娜·费兰特 ,人民文学出版社,2017-4,59.00元,9.2,探索青年时代的激情、困惑、挣扎、背叛和失去,https://book.douban.com/subject/26986954/
局外人,[法] 阿尔贝·加缪 ,上海译文出版社,2010-8,22.00元,9.1,人生在世，永远也不该演戏作假,https://book.douban.com/subject/4908885/
中国历代政治得失,钱穆 ,生活·读书·新知三联书店,2001,12.00元,9.2,一部简明的“中国政治制度史”,https://book.douban.com/subject/1003479/
人类简史,[以色列] 尤瓦尔·赫拉利 ,中信出版社,2014-11,68.00元,9.1,跟着人类一同走过十万年,https://book.douban.com/subject/25985021/
平凡的世界（全三部）,路遥 ,人民文学出版社,2005-1,64.00元,9.0,中国当代城乡生活全景,https://book.douban.com/subject/1200840/
围城,钱锺书 ,人民文学出版社,1991-2,19.00,9.0,幽默的语言和对生活深刻的观察,https://book.douban.com/subject/1008145/
笑傲江湖（全四册）,金庸 ,生活·读书·新知三联书店,1994-5,76.80元,9.1,欲练此功，必先自宫,https://book.douban.com/subject/1002299/
乡土中国,费孝通 ,上海人民出版社,2006-04-01,38.00,9.3,中国乡土社会传统文化和社会结构理论研究代表作,https://book.douban.com/subject/1795079/
野草,鲁迅 ,人民文学出版社,1973-3,0.20元,9.5,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。,https://book.douban.com/subject/1915958/
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 ,南海出版公司,2012-9-1,39.50元,9.0,义无反顾地直达爱情的核心,https://book.douban.com/subject/10594787/
白鹿原,陈忠实 ,人民文学出版社,2012-9,39.00元,9.3,一轴关于我们民族灵魂的现实主义画卷,https://book.douban.com/subject/10564071/
东方快车谋杀案,[英] 阿加莎·克里斯蒂 ,人民文学出版社,2006-5,18.00元,9.1,谋杀诡计惊人，波洛的抉择耐人寻味,https://book.douban.com/subject/1827374/
邓小平时代,[美] 傅高义 ,生活·读书·新知三联书店,2013-1,88.00元,9.3,个人命运背后的历史变局,https://book.douban.com/subject/20424526/
肖申克的救赎,[美] 斯蒂芬·金 ,人民文学出版社,2006-7,29.90元,9.1,豆瓣电影Top1原著,https://book.douban.com/subject/1829226/
基督山伯爵,[法国] 大仲马 ,上海译文出版社,1991-12-1,43.90元,9.0,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景,https://book.douban.com/subject/1085860/
悉达多,[德] 赫尔曼·黑塞 ,天津人民出版社,2017-1,32.00元,9.4,空,https://book.douban.com/subject/26980487/
月亮和六便士,[英] 毛姆 ,上海译文出版社,2006-8,15.00元,9.0,有多少人会经历顿悟，就有更少的人甘愿自我放逐,https://book.douban.com/subject/1858513/
江城,[美] 彼得·海斯勒 ,上海译文出版社,2012-1,36.00元,9.1,外国人眼中的涪陵,https://book.douban.com/subject/7060185/
我与地坛,史铁生 ,春风文艺出版社,2002-5,25.00元,9.1,这是你的罪孽与福祉,https://book.douban.com/subject/1209899/
万历十五年,[美] 黄仁宇 ,生活·读书·新知三联书店,1997-5,18.00元,9.0,见微知著，历史观的颠覆,https://book.douban.com/subject/1041482/
彷徨,鲁迅 ,人民文学出版社,1973-3,0.37元,9.2,路漫漫其修远兮，吾将上下而求索,https://book.douban.com/subject/1449348/
城南旧事,林海音 文 ,中国青年出版社,2003-7,16.00元,9.1,长亭外，古道边，芳草碧连天,https://book.douban.com/subject/1254588/
艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich) ,广西美术出版社,2008-04,280.00,9.6,从最早的洞窟绘画到当今的实验艺术,https://book.douban.com/subject/3162991/
追风筝的人,[美] 卡勒德·胡赛尼 ,上海人民出版社,2006-5,29.00元,8.9,为你，千千万万遍,https://book.douban.com/subject/1770782/
罗杰疑案,[英] 阿加莎·克里斯蒂 ,新星出版社,2013-3,28.00元,9.2,空,https://book.douban.com/subject/21371175/
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯 ,广西师范大学出版社,2015-4,36.00元,9.1,当声称能改造智能的科学实验选中心智障碍主角,https://book.douban.com/subject/26362836/
射雕英雄传,金庸 ,生活·读书·新知三联书店,1999-04,47.00元,9.1,侠之大者，为国为民,https://book.douban.com/subject/1044547/
刀锋,[英]毛姆 ,上海译文出版社,2007-3,18.00元,9.0,一把刀的锋刃不容易越过；因此智者说得救之道是困难的,https://book.douban.com/subject/2035162/
卡拉马佐夫兄弟,[俄] 费奥多尔·陀思妥耶夫斯基 ,上海译文出版社,2006-8,25.00元,9.4,错综复杂的社会、家庭矛盾和人性悲剧,https://book.douban.com/subject/1856494/
许三观卖血记,余华 ,作家出版社,2012-9,24.00元,9.1,空,https://book.douban.com/subject/4760224/
寻路中国,[美] 彼得·海斯勒 ,上海译文出版社,2011-1,33.00元,9.0,《纽约客》驻北京记者驾车漫游中国大陆的经历,https://book.douban.com/subject/5414391/
朝花夕拾,鲁迅 ,人民文学出版社,1973-4,0.25元,9.0,在纷扰中寻出一点闲静,https://book.douban.com/subject/1449352/
故事新编,鲁迅 ,人民文学出版社,1973-12-01,0.31 元,9.4,拾取古代传说，取一点因由，随意点染,https://book.douban.com/subject/2046909/
树上的男爵,[意] 伊塔洛·卡尔维诺 ,译林出版社,2012-4-1,30.00元,9.1,是不是真的只有先与人疏离，才能最终与他们在一起？,https://book.douban.com/subject/6789605/
嫌疑人X的献身,[日] 东野圭吾 ,南海出版公司,2008-9,28.00,8.9,数学好是一种极致的浪漫,https://book.douban.com/subject/3211779/
格林童话全集,[德国]格林兄弟 ,人民文学出版社,1994-11,21.45元,9.0,一本有教育意义的书,https://book.douban.com/subject/1043008/
无人生还,[英] 阿加莎・克里斯蒂 ,人民文学出版社,2008-3,19.00,9.0,童谣杀人案,https://book.douban.com/subject/3006581/
黄金时代,王小波 ,花城出版社,1999-3,19.00元,8.9,我想爱，想吃，还想在一瞬间变成天上半明半暗的云,https://book.douban.com/subject/1089243/
傲慢与偏见,[英] 奥斯丁 ,人民文学出版社,1993-7,13.00元,8.9,所有现代言情小说的母体,https://book.douban.com/subject/1083428/
中国少年儿童百科全书（全四册）,林崇德 主编 ,浙江教育出版社,1991-4,168.00元,9.4,空,https://book.douban.com/subject/1028409/
史记（全十册）,司马迁 ,中华书局,1982-11,125.00,9.5,史家之绝唱，无韵之离骚,https://book.douban.com/subject/1077847/
鼠疫,[法] 阿尔贝·加缪 ,上海译文出版社,2013-8,34.00元,9.1,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理,https://book.douban.com/subject/24257229/
悲惨世界（上中下）,[法] 雨果 ,人民文学出版社,1992-6,66.00元,9.0,现实主义与浪漫主义的至高杰作,https://book.douban.com/subject/1205054/
历史深处的忧虑,林达 ,生活·读书·新知三联书店,1997-5,19.00元,9.0,窥见美国社会的一扇窗,https://book.douban.com/subject/1027191/
台北人,白先勇 ,广西师范大学出版社,2010-10,38.00元,9.0,白先勇短篇小说集,https://book.douban.com/subject/5337248/
神雕侠侣,金庸 ,生活·读书·新知三联书店,1994-5,76.80元,8.9,至情至性，情大于武,https://book.douban.com/subject/1255624/
上帝掷骰子吗,曹天元 ,辽宁教育出版社,2006-1,32.00元,9.2,量子物理史话,https://book.douban.com/subject/1467022/
西游记（全二册）,吴承恩 ,人民文学出版社,2004-8,47.20元,9.0,神魔皆有人情，精魅亦通世故,https://book.douban.com/subject/1029553/
诗经,孔丘 编订 ,北京出版社,2006-7,19.90元,9.4,思无邪,https://book.douban.com/subject/1883245/
永恒的终结,[美] 艾萨克·阿西莫夫 ,江苏凤凰文艺出版社,2014-9,32.00元,9.1,关于时间旅行的终极奥秘和恢宏构想,https://book.douban.com/subject/25829693/
文学回忆录,木心 口述 ,广西师范大学出版社,2013-1-10,98.00元,9.1,木心留给世界的礼物,https://book.douban.com/subject/20440644/
厌女,上野千鹤子 ,上海三联书店,2015-1,28.00元,9.1,空,https://book.douban.com/subject/25836270/
哭泣的骆驼,三毛 ,哈尔滨出版社,2003-6,15.80元,9.0,沙漠中寻常的生与死,https://book.douban.com/subject/1029111/
灿烂千阳,[美] 卡勒德·胡赛尼 ,上海人民出版社,2007-9,28.00元,8.9,唯有希望与爱可以驱散阴霾,https://book.douban.com/subject/2143732/
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼 ,四川文艺出版社,2015-12,35.00元,9.1,这个发生在瑞典的故事，如生命庆典般绚丽斑斓,https://book.douban.com/subject/26672693/
最好的告别,[美] 阿图·葛文德（Atul Gawande） ,浙江人民出版社,2015-7-31,54.90元,9.0,关于衰老与死亡，你必须知道的常识,https://book.douban.com/subject/26576861/
孽子,白先勇 ,广西师范大学出版社,2010.10,46.00元,9.1,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们,https://book.douban.com/subject/5337254/
人间词话,王国维 ,上海古籍出版社,1998-12,9.80元,9.0,以新眼光评旧文学,https://book.douban.com/subject/1203426/
窗边的小豆豆,[日] 黑柳彻子 著 ,南海出版公司,2003-1,20.00元,8.8,真正懂孩子的教育经,https://book.douban.com/subject/1007914/
唐诗三百首,蘅塘退士 ,中华书局,1984-07-01,0.65,9.4,熟读唐诗三百首，不会吟诗也会吟,https://book.douban.com/subject/1013267/
美的历程,李泽厚 ,生活·读书·新知三联书店,2009-7,43.00元,9.2,中国美学经典之作,https://book.douban.com/subject/3410718/
浪潮之巅,吴军 ,电子工业出版社,2011-8,55.00元,9.0,了解IT领域的入门读物,https://book.douban.com/subject/6709783/
看见,柴静 ,广西师范大学出版社,2013-1-1,39.80元,8.8,在这里看见中国,https://book.douban.com/subject/20427187/
秋园,杨本芬 ,北京联合出版公司,2020-6,38.00元,9.0,空,https://book.douban.com/subject/34998019/
置身事内,兰小欢 ,上海人民出版社,2021-8,65.00元,9.1,空,https://book.douban.com/subject/35546622/
呼兰河传,萧红 ,百花文艺出版社,2005-01,19.00,8.9,萧红的童年往事,https://book.douban.com/subject/1060852/
道德经,黄元吉 ,陕西人民出版社,1996-10,4.50元,9.5,中国历史上首部完整的哲学著作,https://book.douban.com/subject/1059258/
爱你就像爱生命,王小波 ,上海锦绣文章出版社,2008-5,18.00元,8.8,王小波与李银河的两地书,https://book.douban.com/subject/3071717/
我们仨,杨绛 ,生活·读书·新知三联书店,2003-7,18.80元,8.7,家庭生活回忆录,https://book.douban.com/subject/1023045/
巨人的陨落,[英] 肯·福莱特 ,江苏凤凰文艺出版社,2016-5-1,129.80元,8.9,五个家族，一场战争,https://book.douban.com/subject/26698660/
冬牧场,李娟 ,新星出版社,2012-6,29.80元,9.1,阿勒泰的精灵,https://book.douban.com/subject/10522856/
美丽新世界,【英】奥尔德斯·赫胥黎 ,上海译文出版社,2017-6,45.00元,9.2,空,https://book.douban.com/subject/27002046/
教父,[美]马里奥·普佐 ,译林出版社,1997-8,23.30元,9.0,“教父三部曲”电影原著,https://book.douban.com/subject/1092335/
四世同堂,老舍 ,北京十月文艺出版社,2008-07,36.00元,9.4,北平沦陷时代广大平民的悲惨遭遇,https://book.douban.com/subject/3183775/
离开的，留下的,[意] 埃莱娜·费兰特 ,人民文学出版社,2017-10,62.00元,8.9,探索中年的虚无、困惑、野心和近乎残暴的爱,https://book.douban.com/subject/27104959/
海子的诗,海子 ,人民文学出版社,1999-04,15.40,9.0,空,https://book.douban.com/subject/1011754/
人生的枷锁,[英] 毛姆 ,上海译文出版社,2007-3,32.00元,9.1,在混沌纷扰的生活漩流中，寻求人生的真谛,https://book.douban.com/subject/2035171/
看不见的城市,[意] 伊塔洛·卡尔维诺 ,译林出版社,2012-4,25.00元,9.0,空,https://book.douban.com/subject/10555509/
飞鸟集,[印] 罗宾德拉纳德·泰戈尔 ,哈尔滨出版社,2004-6,16.80元,8.9,一个淡泊清透的世界,https://book.douban.com/subject/1058661/
罪与罚,[俄] 陀思妥耶夫斯基 ,上海译文出版社,2006-8,23.00元,9.2,描绘人内心的全部深度,https://book.douban.com/subject/1858568/
斯通纳,[美] 约翰·威廉斯 ,上海人民出版社,2016-1,49.00元,8.9,即使不能拥有完美的生活，所幸追求过完整的自我,https://book.douban.com/subject/26425831/
人生的智慧,(德)叔本华 ,上海人民出版社,2008-10-01,28.00元,9.2,对世俗、实用问题深刻而透彻的讨论,https://book.douban.com/subject/3261600/
叫魂,[美] 孔飞力 ,生活·读书·新知三联书店 上海三联书店,2012-5,38.00元,9.1,1768年中国妖术大恐慌,https://book.douban.com/subject/10471333/
鹿鼎记,金庸 ,广州出版社 花城出版社,2008-3,108.00元,8.9,武侠的解构，流氓的狂欢,https://book.douban.com/subject/1212893/
刘擎西方现代思想讲义,刘擎 ,新星出版社,2021-1,79.00元,9.2,空,https://book.douban.com/subject/35313227/
梦里花落知多少,三毛 ,北京十月文艺出版社,2007-6,28.00元,8.8,哀而不伤,https://book.douban.com/subject/2070844/
这些人，那些事,吴念真 ,译林出版社,2011-9,28.00元,8.8,平淡叙述下的惊心动魄,https://book.douban.com/subject/6388661/
边城,沈从文 ,北岳文艺出版社,2002-4,12.00元,8.7,一切充满了善，然而到处是不凑巧,https://book.douban.com/subject/1057244/
时间简史,[英] 史蒂芬·霍金 ,湖南科学技术出版社,2010-4,45.00元,8.9,探索时间和空间的核心秘密,https://book.douban.com/subject/1034282/
陆犯焉识,严歌苓 ,作家出版社,2011-10,35.00元,8.9,翻手为苍凉，覆手为繁华,https://book.douban.com/subject/6880158/
王尔德童话,[英] 王尔德 ,译林出版社,2003-6,6.00元,9.1,一颗纯美纯善、永难泯灭的童心,https://book.douban.com/subject/1119839/
小径分岔的花园,[阿根廷] 豪·路·博尔赫斯 ,上海译文出版社,2015-7,23.00,9.0,一个谜语，谜底正是时间,https://book.douban.com/subject/25796120/
金色梦乡,[日] 伊坂幸太郎 ,译林出版社,2010-9,35.00元,9.0,伊坂幸太郎代表作,https://book.douban.com/subject/5038409/
受戒,汪曾祺 ,漓江出版社,1987-10,3.95元,9.3,江南乡镇民间生活，健康淳朴的人性,https://book.douban.com/subject/1760432/
也许你该找个人聊聊,[美]洛莉·戈特利布 ,上海文化出版社,2021-7-28,68.00元,9.0,空,https://book.douban.com/subject/35481512/
你当像鸟飞往你的山,[美] 塔拉·韦斯特弗 ,南海出版公司,2019-10,59.00元,8.7,我来自一个极少有人能想象的家庭，教育给了我新世界,https://book.douban.com/subject/33440205/
棋王·树王·孩子王,阿城 ,江苏凤凰文艺出版社,2016-3-1,58.00,9.2,空,https://book.douban.com/subject/26734559/
十万个为什么,少年儿童出版社 ,少年儿童出版社,1962,30.00元,9.1,空,https://book.douban.com/subject/2160556/
绝叫,[日] 叶真中显 ,北京联合出版公司,2020-7,58.00元,8.9,空,https://book.douban.com/subject/35031587/
失明症漫记,[葡] 若泽·萨拉马戈 ,南海出版公司,2014-2,29.50,9.1,失明症迅速蔓延，整个城市陷入一场空前的灾难,https://book.douban.com/subject/20428302/
昨日的世界,[奥] 斯蒂芬·茨威格 ,广西师范大学出版社,2004-5-1,32.00元,9.2,一个高贵而残破的昨日镜像,https://book.douban.com/subject/1062343/
毛泽东选集 第一卷,毛泽东 ,人民出版社,1991-5,40.00元,9.6,空,https://book.douban.com/subject/1139360/
克莱因壶,[日]冈岛二人 ,化学工业出版社,2019-9,48.00元,8.9,空,https://book.douban.com/subject/33658616/
一个陌生女人的来信,[奥] 斯蒂芬·茨威格 ,上海译文出版社,2007-7,20.00元,8.7,暗恋的极致,https://book.douban.com/subject/2154960/
故事,[美] 罗伯特·麦基 ,天津人民出版社,2014-9,68.00元,9.2,材质、结构、风格和银幕剧作的原理,https://book.douban.com/subject/25976544/
茶馆,老舍 ,人民文学出版社,2002-1,9.80元,9.1,清末、民初、抗战胜利以后三个历史时期的北京生活风貌,https://book.douban.com/subject/1036613/
國史大綱（上下）,錢穆 ,商务印书馆,2013-8,76.00元,9.4,钱穆中国通史,https://book.douban.com/subject/1046492/
绿毛水怪,王小波 ,时代文艺出版社,2009-1,30.00元,9.1,我们好象在池塘的水底，从一个月亮走向另一个月亮,https://book.douban.com/subject/3518332/
经济学原理（上下）,[美] 曼昆 ,机械工业出版社,2003-8,88.00元,9.1,经济学家们的世界观,https://book.douban.com/subject/1028842/
桶川跟踪狂杀人事件,[日] 清水洁 ,四川人民出版社,2021-2,45.00元,9.0,空,https://book.douban.com/subject/35094680/
人间草木,汪曾祺 ,江苏文艺出版社,2005-01,20.00元,9.2,我就是要这样香，香得痛痛快快,https://book.douban.com/subject/1253310/
面纱,(英)W.萨默塞特·毛姆 ,重庆出版社,2012-05-01,32.00元,8.8,揭去生活的面纱,https://book.douban.com/subject/10560798/
苏菲的世界,[挪] 乔斯坦·贾德 ,作家出版社,2007-10,26.00元,8.8,哲学启蒙书,https://book.douban.com/subject/2284311/
万水千山走遍,三毛 ,哈尔滨出版社,2003-08,13.80,8.9,从遥远的撒哈拉到敦煌戈壁,https://book.douban.com/subject/1036490/
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森 ,中信出版社,2011-10-24,68.00元,8.7,完美主义者的最高形态,https://book.douban.com/subject/6798611/
爱的艺术,[美] 艾·弗洛姆 ,上海译文出版社,2008-4,15.00元,8.8,谦恭地、勇敢地、真诚地和有纪律地爱他人,https://book.douban.com/subject/3026879/
海的女儿,安徒生 ,上海译文出版社,1978年6月,0.43,9.1,空,https://book.douban.com/subject/1765512/
阿勒泰的角落,李娟 ,万卷出版公司,2010-6,25.00元,9.1,白雪和阳光，青草和白桦林,https://book.douban.com/subject/4881850/
全球通史(上),[美]斯塔夫里阿诺斯 ,北京大学出版社,2006-1-10,42.00,9.2,空,https://book.douban.com/subject/1922216/
我的天才女友,[意] 埃莱娜·费兰特 ,人民文学出版社,2017-1,42.00元,8.7,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争,https://book.douban.com/subject/26878124/
温柔的夜,三毛 ,北京十月文艺出版社,2007-5,28.00元,9.1,三毛在加纳利群岛的生活,https://book.douban.com/subject/2068249/
德米安,[德] 赫尔曼·黑塞 ,上海人民出版社,2009-3,25.00元,8.9,少年辛克莱寻找通向自身之路的艰辛历程,https://book.douban.com/subject/3578470/
不能承受的生命之轻,米兰·昆德拉 ,上海译文出版社,2010-8,29.00元,8.8,空,https://book.douban.com/subject/4920007/
霸王别姬,李碧华 ,人民文学出版社,1999-1,10.20元,9.1,人间，只是抹去了脂粉的脸,https://book.douban.com/subject/1088711/
13 67,陳浩基 ,皇冠文化出版有限公司,2014-6-9,NT$350,9.2,空,https://book.douban.com/subject/25897884/
长日将尽,[英] 石黑一雄 ,上海译文出版社,2018-5,48,8.9,空,https://book.douban.com/subject/30142261/
少年凯歌,陈凯歌 ,人民文学出版社,2001-6,10.00元,9.3,空,https://book.douban.com/subject/1091203/
球状闪电,刘慈欣 ,四川科学技术出版社,2005-6,22.00元,8.7,量子之外，没有真相,https://book.douban.com/subject/1192090/
我也有一个梦想,林达 ,生活·读书·新知三联书店,2004-08,25.00元,9.0,在法治国家里，民众怎样运用法律,https://book.douban.com/subject/1014825/
古文观止,吴楚材 ,中华书局,1987-1-1,21.00元,9.1,收录自先秦至明末的散文二百二十二篇,https://book.douban.com/subject/1014561/
亮剑,都梁 ,解放军文艺出版社,2005-3,28.00元,9.0,面对强大的对手，明知不敌，也要毅然亮剑,https://book.douban.com/subject/1088022/
我的阿勒泰,李娟 ,云南人民出版社,2010-7,22.00元,8.9,描写疆北阿勒泰地区生活和风情的原生态散文集,https://book.douban.com/subject/4884218/
社会心理学,[美] 戴维·迈尔斯 ,人民邮电出版社,2006-1,68.00元,9.0,人们是如何思索、影响他人并与他人建立联系的,https://book.douban.com/subject/1476651/
倾城之恋,张爱玲 ,北京十月文艺出版社,2006-12,29.80元,8.7,“一对平凡的夫妻”之间的“一点真心”,https://book.douban.com/subject/1985223/
我不知道该说什么，关于死亡还是爱情,[白俄] S·A·阿列克谢耶维奇 ,花城出版社,2014-6-15,34.80元,9.1,真实记录切尔诺贝利核灾难事件,https://book.douban.com/subject/25884880/
一句顶一万句,刘震云 ,长江文艺出版社,2009-3,29.80,8.7,一句胜过千年,https://book.douban.com/subject/3633461/
海风中失落的血色馈赠,[加拿大] 阿利斯泰尔·麦克劳德 ,上海文艺出版社,2015-6-1,CNY 20.00,9.1,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟,https://book.douban.com/subject/26357614/
麦琪的礼物,[美] 欧·亨利 ,上海社会科学院出版社,2003-7,25.00元,8.7,日常的奇迹,https://book.douban.com/subject/1051193/
浮生六记,（清）沈复 ,人民文学出版社,1999-1,38,8.8,苟不记之笔墨，未免有辜彼苍之厚,https://book.douban.com/subject/1088581/
遥远的向日葵地,李娟 ,花城出版社,2017-11,38.00元,9.1,空,https://book.douban.com/subject/27184303/
天朝的崩溃,茅海建 ,生活·读书·新知三联书店,2005-7,32.00元,9.1,鸦片战争再研究,https://book.douban.com/subject/1675478/
孩子你慢慢来,龙应台 ,生活·读书·新知三联书店,2009-12-1,28.00元,8.7,我们现在怎样做母亲,https://book.douban.com/subject/4207781/
送你一颗子弹,刘瑜 ,上海三联书店,2010-1,25.00元,8.6,在这本书里，被“审视”的东西杂七杂八,https://book.douban.com/subject/4238362/
强风吹拂,三浦紫苑 ,广西师范大学出版社,2015-1-1,39.00元,9.0,明明这么痛苦，这么难过，为什么就是不能放弃跑步？,https://book.douban.com/subject/26210487/
